PROJECT_TITLE,NIH_SPENDING_CATS
CLINICAL EFFECTIVENESS OF LATE MAXILLARY PROTRACTION FOR CLEFT LIP AND PALATE,Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Congenital Structural Anomalies; Cost Effectiveness Research; Dental/Oral and Craniofacial Disease; Patient Safety; Pediatric; 
Molecular Biology of Viral Diseases Predoctoral Training Grant,Clinical Research; Infectious Diseases; 
Component 5 - PKA Regulation of GABAA Receptor Pathogenesis,"Alcoholism, Alcohol Use and Health; Brain Disorders; Neurosciences; Substance Abuse; "
Project 1,ALS; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Genetics; Neurodegenerative; Neurosciences; Orphan Drug; Prevention; Rare Diseases; 
Improving Diagnosis of Congenital Genitourinary Anomalies,Biotechnology; Clinical Research; Congenital Structural Anomalies; Contraception/Reproduction; Genetics; Human Genome; Pediatric; Sexual and Gender Minorities (SGM/LGBT*); Urologic Diseases; 
Profile substrates and inhibitors of protein lysine methyltransferase,Genetics; 
iPS-derived hepatocytes as a model of familial hypercholesterolemia,Biotechnology; Cardiovascular; Digestive Diseases; Genetics; Liver Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; 
Transforming Research and Clinical Knowledge in Traumatic Brain Injury,Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; 
Training in Cardiac Magnetic Resonance Imaging,Diagnostic Radiology; 
Role of nuclear progesterone receptors in the control of human parturition,Clinical Research; Contraception/Reproduction; Genetics; Infant Mortality/ (LBW); Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period; Prevention; 
Mechanisms of hepatitis C virus persistence,Chronic Liver Disease and Cirrhosis; Clinical Research; Digestive Diseases; Emerging Infectious Diseases; HIV/AIDS; Hepatitis; Hepatitis - C; Infectious Diseases; Liver Disease; 
Biomarkers of Kidney Pathology,Clinical Research; Kidney Disease; Prevention; 
Survival Mechanisms of Invasive Carcinoma Cells,Cancer; Digestive Diseases; Pancreatic Cancer; Rare Diseases; 
Administrative Core,Aging; Brain Disorders; Neurodegenerative; Neurosciences; Parkinson's Disease; 
Veillonellae:Keystone species in biofilm development,Dental/Oral and Craniofacial Disease; Digestive Diseases; Genetics; Infectious Diseases; Nutrition; 
Project 2 :Specialized Pro-Resolving Lipid Mediators,Acute Respiratory Distress Syndrome; Lung; Rare Diseases; 
International Research in Congo,Biodefense; Emerging Infectious Diseases; Infectious Diseases; Vector-Borne Diseases; 
Administrative Core - Core A,Nutrition; 
Substance Use and HIV Prevention Research in Minority Communities Training Program,Behavioral and Social Science; Drug Abuse (NIDA only); HIV/AIDS; Infectious Diseases; Prevention; Substance Abuse; 
Role of Oxidative Stress in Pathogenesis of Fuchs Endothelial Corneal Dystrophy,Aging; Clinical Research; Estrogen; Eye Disease and Disorders of Vision; Genetics; 
The Pittsburgh Cholestatic Liver Disease Consortium,Chronic Liver Disease and Cirrhosis; Clinical Research; Congenital Structural Anomalies; Digestive Diseases; Liver Disease; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Rare Diseases; 
Non-Coding and Coding RNAs as Biomarkers of Cancer Risk in Barrett's Esophagus,Biotechnology; Cancer; Digestive Diseases; Genetics; Human Genome; Prevention; Rare Diseases; 
Clinical Significance of MHC Haplotypes in HCT,Cancer; Clinical Research; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Transplantation; 
New analytic methods for new data sources,Biodefense; Emerging Infectious Diseases; Immunization; Infectious Diseases; Influenza; Malaria; Pneumonia & Influenza; Prevention; Rare Diseases; Vaccine Related; Vector-Borne Diseases; 
NCI National Clinical Trials Network-Network Lead Academic Participating Sites,Cancer; Clinical Research; Clinical Trials and Supportive Activities; 
Genetic Control of Nociceptive Sensory Neuron Development and Pain Behavior,Dental/Oral and Craniofacial Disease; Genetics; Neurodegenerative; Neurosciences; Pain Conditions - Chronic; Pain Research; Peripheral Neuropathy; 
Evaluation of Family Behavior Therapy for Substance Abuse in Collegiate Athletes,Behavioral and Social Science; Brain Disorders; Clinical Research; Drug Abuse (NIDA only); Mental Health; Pediatric; Prevention; Substance Abuse; 
Scientific Core,HIV/AIDS; Prevention; Topical Microbicides; 
Thalamic reticular nucleus-specific Cre mice for functional interrogation,Basic Behavioral and Social Science; Behavioral and Social Science; Mental Health; Neurosciences; 
"Alterations of Inner Retinal Physiology in Retinal Degenerations, Gene Therapy, and Neurologic Disorders",Bioengineering; Biotechnology; Brain Disorders; Eye Disease and Disorders of Vision; Gene Therapy; Genetics; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurosciences; Pediatric; Regenerative Medicine; 
Therapeutic Potential of FTY720 Analogues in Lung Injury,Acute Respiratory Distress Syndrome; Lung; Rare Diseases; 
Task B17: In vitro Screening for Respiratory Panel ,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Age-related Changes in Thoracic Spine Biomechanics,Aging; Bioengineering; Clinical Research; Injury (total) Accidents/Adverse Effects; Rehabilitation; 
Mechanisms of Macrophage Mediated Chemoprotection in Breast Cancer,Breast Cancer; Cancer; 
A Genomic Approach to Warfarin Dose Prescription in Admixed Caribbean Hispanics.,Biotechnology; Clinical Research; Genetics; Hematology; Human Genome; Patient Safety; 
Electron Microscopy,Bioengineering; Biotechnology; Nanotechnology; 
Role of Receptor for Advanced Glycation End Product (RAGE) Pathway in Brain Tumor,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Rare Diseases; 
EEG-Based Assessment of Functional Connectivity in Autism,Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; 
miRNAs:Safe and effective therapeutic adjuvants for treating drug resistant TNBC,Biotechnology; Breast Cancer; Cancer; Clinical Research; Genetics; 
Cortisol regulation during exercise and obesity in adolescents with Down syndrome,Brain Disorders; Clinical Research; Down Syndrome; Intellectual and Developmental Disabilities (IDD); Nutrition; Obesity; Pediatric; Prevention; 
Neuroengineering Core Core Facilities for Analysis of Neural Circuit Structure a,Neurosciences; 
IGF-mediated survival and proliferation in inflamed prostate,Cancer; Prostate Cancer; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Urologic Diseases; 
NADHP Oxidase-mediated MC differentiation & Endothelial Dysfunction in HHcy,Atherosclerosis; Cardiovascular; Genetics; Nutrition; Rare Diseases; 
CyanoMap: Mapping inland lake quality and Amyotrophic lateral sclerosis risk fact,ALS; Brain Disorders; Climate-Related Exposures and Conditions; Clinical Research; Neurodegenerative; Neurosciences; Rare Diseases; 
Environmental toxins and stem cell epigenetic remodeling,Cancer; Genetics; Human Genome; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Quantitative Oncologic PET-MR,Bioengineering; Cancer; Clinical Research; Diagnostic Radiology; Digestive Diseases; Liver Disease; 
Optimizing correction of the Huntington's disease mutation by trans-splicing,Biotechnology; Brain Disorders; Genetics; Huntington's Disease; Neurodegenerative; Neurosciences; Rare Diseases; 
Gene by Environment Influences on Forebrain Development,Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Biotechnology; Brain Disorders; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; Prevention; 
33rd Annual National Neurotrauma Society (NNS) Symposium,Brain Disorders; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Injury - Traumatic brain injury; Neurodegenerative; Neurosciences; Spinal Cord Injury; 
Neural Effects of Sustained Oxytocin Treatment in Children with Autism,Autism; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Pediatric; 
Testing an Imaging Biomarker for Treatment Stratification in Major Depression,Brain Disorders; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Depression; Major Depressive Disorder; Mental Health; Neurosciences; Rehabilitation; Serious Mental Illness; 
UAB-MISS WIHS Cohort,Behavioral and Social Science; Cancer; Clinical Research; Drug Abuse (NIDA only); HIV/AIDS; Infectious Diseases; Prevention; Rural Health; Substance Abuse; 
Mitochondrial Aging and Reprogramming,Aging; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Non-Human; 
"Novel Associations of Anxiety, Depression and Telomeres across Mid- and Late-Life",Aging; Behavioral and Social Science; Clinical Research; Depression; Mental Health; 
Analytical & Phenotyping Core,Cardiovascular; Hypertension; Neurosciences; 
Epigenetic Influence on Thyroid Hormone Action in the Brain and on Behavior,Behavioral and Social Science; Brain Disorders; Genetics; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Prevention; 
Mechanisms of Transmission of Pathological Alpha-synuclein in Neurons,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Lewy Body Dementia; Neurodegenerative; Neurosciences; Parkinson's Disease; 
Computational Approaches for RNA StructureFunction Determination,Biotechnology; Brain Cancer; Brain Disorders; Cancer; Digestive Diseases; Emerging Infectious Diseases; Genetics; HIV/AIDS; Hepatitis; Hepatitis - C; Human Genome; Infectious Diseases; Liver Disease; Rare Diseases; 
CBPR:  Enhancing Capacity to Use Innovative Methodologies,Behavioral and Social Science; Clinical Research; Health Services; 
BIOMETRY CORE,Bioengineering; Cancer; Colo-Rectal Cancer; Digestive Diseases; 
Understanding Unique Aspects of Motility and Chemotaxis in Borrelia burgdorferi,Biodefense; Emerging Infectious Diseases; Infectious Diseases; Lyme Disease; Vector-Borne Diseases; 
Epigenetic Regulation of Drosophila Germline Development,Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Functional-neuroanatomy of High-level Visual Cortex: A Quantitative Multimodal Ap,Bioengineering; Clinical Research; Eye Disease and Disorders of Vision; Mental Health; Neurosciences; 
High-resolution imaging of the normal and diseased retina,Aging; Bioengineering; Clinical Research; Diagnostic Radiology; Eye Disease and Disorders of Vision; Neurodegenerative; Neurosciences; Prevention; 
Adipose Triglyceride Lipase (ATGL) in Lipotoxicity and The Metabolic Syndrome,Diabetes; Nutrition; Obesity; 
Micro Patterned Intraocular Lens Membrane for Reducing Incidence of PCO,Aging; Eye Disease and Disorders of Vision; Prevention; 
NF-kB-dependent miRNAs in Cardioprotection and Regeneration,Biotechnology; Cardiovascular; Genetics; Heart Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
XENOGRAFT AND CELL LINE CORE,Biotechnology; Cancer; Orphan Drug; Pediatric; Pediatric Cancer; Rare Diseases; 
(PQD1) lmpact of cytotoxic and targeted therapy on clonal evolution of CLL,Cancer; Clinical Research; Genetics; Hematology; Human Genome; Lymphoma; Rare Diseases; 
Ligand Binding and Signaling State of Anabaena Sensory Rhodopsin Transducer,Genetics; Infectious Diseases; Neurosciences; 
Mechanistic Role of CD36 in Thrombosis,Atherosclerosis; Biotechnology; Cardiovascular; Clinical Research; Hematology; 
"AGRP NEURONS. NMDARs, Spines, Source of Excitatory Input and Downstream Effectors",Neurosciences; Nutrition; 
From QTL to Gene for HDL Cholesterol,Atherosclerosis; Cardiovascular; Genetics; Heart Disease; 
Inflammation Produces Fibrosis and Bladder Overactivity,Urologic Diseases; 
T Cell Immunity to HSV-2 in Immune Seronegative Subjects,Clinical Research; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Sexually Transmitted Diseases/Herpes; Vaccine Related; 
Experimentally-determined fitness landscape of beta-lactamase inhibitory protein,Antimicrobial Resistance; Biotechnology; Genetics; Infectious Diseases; Prevention; 
Tumor Immunology,Biotechnology; Brain Cancer; Brain Disorders; Cancer; Immunization; Rare Diseases; Vaccine Related; 
Career Development Award Program,Cancer; Prevention; 
Mechanism and Function of ISG15 Conjugation,HIV/AIDS; Infectious Diseases; 
Discovery and fine mapping of susceptibility loci for IgA nephropathy,Clinical Research; Genetics; Human Genome; Kidney Disease; Prevention; 
International Center for Excellence in Research (ICER) in Uganda: Impact of ARVs,Antimicrobial Resistance; Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Infectious Diseases; Prevention; 
"Development of Nociceptin Receptor Agonists for Alcohol Use Disorders, Period of Performance 09/15/15 - 09/14/17; CPFF","Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Brain Disorders; Neurosciences; Substance Abuse; "
"The Role of CD4+ Memory Phenotype, Memory, and Effector T Cells in Vaccination",Biodefense; Biotechnology; Digestive Diseases; Emerging Infectious Diseases; Genetics; Hepatitis; Hepatitis - B; Immunization; Infectious Diseases; Influenza; Liver Disease; Pediatric; Pneumonia & Influenza; Prevention; Vaccine Related; 
